user_id,group,event,revenue
user_A_45620105,A,user_started_onboarding,0
user_A_45620105,A,user_reached_payment_screen,0
user_A_45620105,A,user_subscribed_quarterly,500
user_B_76238182,B,user_started_onboarding,0
user_B_76238182,B,user_reached_payment_screen,0
user_B_76238182,B,user_subscribed_monthly,300
user_A_64076212,A,user_started_onboarding,0
user_A_64076212,A,user_reached_payment_screen,0
user_A_64076212,A,user_subscribed_monthly,300
user_B_61197073,B,user_started_onboarding,0
user_B_61197073,B,user_reached_payment_screen,0
user_A_17922824,A,user_started_onboarding,0
user_A_17922824,A,user_reached_payment_screen,0
user_B_59698175,B,user_started_onboarding,0
user_B_59698175,B,user_reached_payment_screen,0
user_B_59698175,B,user_subscribed_monthly,300
user_A_90219889,A,user_started_onboarding,0
user_B_35882559,B,user_started_onboarding,0
user_B_35882559,B,user_reached_payment_screen,0
user_A_91066289,A,user_started_onboarding,0
user_A_91066289,A,user_reached_payment_screen,0
user_B_93888299,B,user_started_onboarding,0
user_B_93888299,B,user_reached_payment_screen,0
user_A_17912651,A,user_started_onboarding,0
user_A_17912651,A,user_reached_payment_screen,0
user_B_52993323,B,user_started_onboarding,0
user_B_52993323,B,user_reached_payment_screen,0
user_B_52993323,B,user_started_trial,0
user_B_52993323,B,trial_converted_to_annual,1200
user_A_66391827,A,user_started_onboarding,0
user_A_66391827,A,user_reached_payment_screen,0
user_A_66391827,A,user_subscribed_monthly,300
user_B_88633914,B,user_started_onboarding,0
user_B_88633914,B,user_reached_payment_screen,0
user_B_88633914,B,user_subscribed_quarterly,500
user_A_1756120,A,user_started_onboarding,0
user_A_1756120,A,user_reached_payment_screen,0
user_A_1756120,A,user_subscribed_monthly,300
user_B_25081960,B,user_started_onboarding,0
user_B_25081960,B,user_reached_payment_screen,0
user_B_25081960,B,user_subscribed_monthly,300
user_A_37992885,A,user_started_onboarding,0
user_A_37992885,A,user_reached_payment_screen,0
user_A_37992885,A,user_started_trial,0
user_A_37992885,A,trial_converted_to_annual,1200
user_B_67171157,B,user_started_onboarding,0
user_B_67171157,B,user_reached_payment_screen,0
user_B_67171157,B,user_started_trial,0
user_B_67171157,B,trial_converted_to_annual,1200
user_A_20153908,A,user_started_onboarding,0
user_A_20153908,A,user_reached_payment_screen,0
user_A_20153908,A,user_subscribed_quarterly,500
user_B_34583207,B,user_started_onboarding,0
user_A_36643977,A,user_started_onboarding,0
user_B_84639937,B,user_started_onboarding,0
user_A_74012356,A,user_started_onboarding,0
user_A_74012356,A,user_reached_payment_screen,0
user_B_86466362,B,user_started_onboarding,0
user_B_86466362,B,user_reached_payment_screen,0
user_B_86466362,B,user_subscribed_quarterly,500
user_A_90895902,A,user_started_onboarding,0
user_A_90895902,A,user_reached_payment_screen,0
user_B_38602787,B,user_started_onboarding,0
user_B_38602787,B,user_reached_payment_screen,0
user_A_88812774,A,user_started_onboarding,0
user_A_88812774,A,user_reached_payment_screen,0
user_B_75950690,B,user_started_onboarding,0
user_B_75950690,B,user_reached_payment_screen,0
user_A_11797297,A,user_started_onboarding,0
user_B_94277263,B,user_started_onboarding,0
user_A_97543127,A,user_started_onboarding,0
user_A_97543127,A,user_reached_payment_screen,0
user_B_84966852,B,user_started_onboarding,0
user_B_84966852,B,user_reached_payment_screen,0
user_B_84966852,B,user_subscribed_monthly,300
user_A_51574105,A,user_started_onboarding,0
user_A_51574105,A,user_reached_payment_screen,0
user_B_88662041,B,user_started_onboarding,0
user_B_88662041,B,user_reached_payment_screen,0
user_B_88662041,B,user_subscribed_quarterly,500
user_A_84195145,A,user_started_onboarding,0
user_A_84195145,A,user_reached_payment_screen,0
user_A_84195145,A,user_subscribed_monthly,300
user_B_87973534,B,user_started_onboarding,0
user_B_87973534,B,user_reached_payment_screen,0
user_B_87973534,B,user_subscribed_quarterly,500
user_A_18588556,A,user_started_onboarding,0
user_A_18588556,A,user_reached_payment_screen,0
user_B_65652860,B,user_started_onboarding,0
user_B_65652860,B,user_reached_payment_screen,0
user_A_40551298,A,user_started_onboarding,0
user_A_40551298,A,user_reached_payment_screen,0
user_A_40551298,A,user_subscribed_monthly,300
user_B_13407191,B,user_started_onboarding,0
user_B_13407191,B,user_reached_payment_screen,0
user_B_13407191,B,user_subscribed_quarterly,500
user_A_96033266,A,user_started_onboarding,0
user_B_447945,B,user_started_onboarding,0
user_B_447945,B,user_reached_payment_screen,0
user_A_1245949,A,user_started_onboarding,0
user_A_1245949,A,user_reached_payment_screen,0
user_B_98893554,B,user_started_onboarding,0
user_B_98893554,B,user_reached_payment_screen,0
user_A_21721677,A,user_started_onboarding,0
user_A_21721677,A,user_reached_payment_screen,0
user_A_21721677,A,user_subscribed_monthly,300
user_B_15050353,B,user_started_onboarding,0
user_A_91542535,A,user_started_onboarding,0
user_A_91542535,A,user_reached_payment_screen,0
user_A_91542535,A,user_subscribed_monthly,300
user_B_25940368,B,user_started_onboarding,0
user_A_84911721,A,user_started_onboarding,0
user_B_20848905,B,user_started_onboarding,0
user_B_20848905,B,user_reached_payment_screen,0
user_B_20848905,B,user_subscribed_quarterly,500
user_A_71480355,A,user_started_onboarding,0
user_A_71480355,A,user_reached_payment_screen,0
user_B_16223799,B,user_started_onboarding,0
user_B_16223799,B,user_reached_payment_screen,0
user_A_94000345,A,user_started_onboarding,0
user_A_94000345,A,user_reached_payment_screen,0
user_A_94000345,A,user_subscribed_monthly,300
user_B_15771939,B,user_started_onboarding,0
user_B_15771939,B,user_reached_payment_screen,0
user_B_15771939,B,user_subscribed_monthly,300
user_A_58166631,A,user_started_onboarding,0
user_A_58166631,A,user_reached_payment_screen,0
user_A_58166631,A,user_subscribed_monthly,300
user_B_50854343,B,user_started_onboarding,0
user_B_50854343,B,user_reached_payment_screen,0
user_B_50854343,B,user_subscribed_quarterly,500
user_A_62214477,A,user_started_onboarding,0
user_A_62214477,A,user_reached_payment_screen,0
user_B_18036359,B,user_started_onboarding,0
user_B_18036359,B,user_reached_payment_screen,0
user_B_18036359,B,user_subscribed_quarterly,500
user_A_67579911,A,user_started_onboarding,0
user_A_67579911,A,user_reached_payment_screen,0
user_A_67579911,A,user_subscribed_monthly,300
user_B_59671818,B,user_started_onboarding,0
user_B_59671818,B,user_reached_payment_screen,0
user_A_3805136,A,user_started_onboarding,0
user_A_3805136,A,user_reached_payment_screen,0
user_A_3805136,A,user_subscribed_monthly,300
user_B_55580262,B,user_started_onboarding,0
user_B_55580262,B,user_reached_payment_screen,0
user_A_51209220,A,user_started_onboarding,0
user_A_51209220,A,user_reached_payment_screen,0
user_B_71524538,B,user_started_onboarding,0
user_B_71524538,B,user_reached_payment_screen,0
user_A_80108131,A,user_started_onboarding,0
user_A_80108131,A,user_reached_payment_screen,0
user_B_85537010,B,user_started_onboarding,0
user_B_85537010,B,user_reached_payment_screen,0
user_A_33671222,A,user_started_onboarding,0
user_A_33671222,A,user_reached_payment_screen,0
user_A_33671222,A,user_subscribed_quarterly,500
user_B_47780447,B,user_started_onboarding,0
user_B_47780447,B,user_reached_payment_screen,0
user_B_47780447,B,user_started_trial,0
user_B_47780447,B,trial_converted_to_annual,1200
user_A_43992705,A,user_started_onboarding,0
user_A_43992705,A,user_reached_payment_screen,0
user_B_22759175,B,user_started_onboarding,0
user_B_22759175,B,user_reached_payment_screen,0
user_A_40432128,A,user_started_onboarding,0
user_B_45325665,B,user_started_onboarding,0
user_B_45325665,B,user_reached_payment_screen,0
user_B_45325665,B,user_subscribed_monthly,300
user_A_11269206,A,user_started_onboarding,0
user_A_11269206,A,user_reached_payment_screen,0
user_B_38771933,B,user_started_onboarding,0
user_B_38771933,B,user_reached_payment_screen,0
user_A_68104809,A,user_started_onboarding,0
user_B_21867898,B,user_started_onboarding,0
user_B_21867898,B,user_reached_payment_screen,0
user_A_75432002,A,user_started_onboarding,0
user_A_75432002,A,user_reached_payment_screen,0
user_A_75432002,A,user_subscribed_monthly,300
user_B_77670860,B,user_started_onboarding,0
user_B_77670860,B,user_reached_payment_screen,0
user_A_58274499,A,user_started_onboarding,0
user_B_83369489,B,user_started_onboarding,0
user_B_83369489,B,user_reached_payment_screen,0
user_A_89627776,A,user_started_onboarding,0
user_B_74865275,B,user_started_onboarding,0
user_B_74865275,B,user_reached_payment_screen,0
user_A_85333650,A,user_started_onboarding,0
user_A_85333650,A,user_reached_payment_screen,0
user_A_85333650,A,user_subscribed_monthly,300
user_B_28330040,B,user_started_onboarding,0
user_B_28330040,B,user_reached_payment_screen,0
user_A_19160069,A,user_started_onboarding,0
user_A_19160069,A,user_reached_payment_screen,0
user_B_83000718,B,user_started_onboarding,0
user_B_83000718,B,user_reached_payment_screen,0
user_B_83000718,B,user_subscribed_monthly,300
user_A_28063527,A,user_started_onboarding,0
user_A_28063527,A,user_reached_payment_screen,0
user_B_9840262,B,user_started_onboarding,0
user_A_74712844,A,user_started_onboarding,0
user_A_74712844,A,user_reached_payment_screen,0
user_B_83213562,B,user_started_onboarding,0
user_B_83213562,B,user_reached_payment_screen,0
user_B_83213562,B,user_subscribed_monthly,300
user_A_49274830,A,user_started_onboarding,0
user_A_49274830,A,user_reached_payment_screen,0
user_B_95996128,B,user_started_onboarding,0
user_B_95996128,B,user_reached_payment_screen,0
user_B_95996128,B,user_subscribed_monthly,300
user_A_13898134,A,user_started_onboarding,0
user_A_13898134,A,user_reached_payment_screen,0
user_A_13898134,A,user_subscribed_monthly,300
user_B_50193385,B,user_started_onboarding,0
user_A_93053168,A,user_started_onboarding,0
user_B_89591101,B,user_started_onboarding,0
user_B_89591101,B,user_reached_payment_screen,0
user_B_89591101,B,user_subscribed_monthly,300
user_A_38769372,A,user_started_onboarding,0
user_A_38769372,A,user_reached_payment_screen,0
user_B_43437845,B,user_started_onboarding,0
user_B_43437845,B,user_reached_payment_screen,0
user_B_43437845,B,user_subscribed_quarterly,500
user_A_61908099,A,user_started_onboarding,0
user_A_61908099,A,user_reached_payment_screen,0
user_A_61908099,A,user_subscribed_quarterly,500
user_B_57358787,B,user_started_onboarding,0
user_B_57358787,B,user_reached_payment_screen,0
user_A_19887120,A,user_started_onboarding,0
user_B_67158650,B,user_started_onboarding,0
user_B_67158650,B,user_reached_payment_screen,0
user_B_67158650,B,user_subscribed_quarterly,500
user_A_82104288,A,user_started_onboarding,0
user_A_82104288,A,user_reached_payment_screen,0
user_B_26572845,B,user_started_onboarding,0
user_B_26572845,B,user_reached_payment_screen,0
user_B_26572845,B,user_started_trial,0
user_B_26572845,B,trial_converted_to_annual,1200
user_A_65515174,A,user_started_onboarding,0
user_B_60281240,B,user_started_onboarding,0
user_B_60281240,B,user_reached_payment_screen,0
user_A_99933919,A,user_started_onboarding,0
user_A_99933919,A,user_reached_payment_screen,0
user_B_41425338,B,user_started_onboarding,0
user_B_41425338,B,user_reached_payment_screen,0
user_B_41425338,B,user_subscribed_monthly,300
user_A_98946089,A,user_started_onboarding,0
user_A_98946089,A,user_reached_payment_screen,0
user_A_98946089,A,user_subscribed_quarterly,500
user_B_25646630,B,user_started_onboarding,0
user_A_7954644,A,user_started_onboarding,0
user_A_7954644,A,user_reached_payment_screen,0
user_B_199884,B,user_started_onboarding,0
user_B_199884,B,user_reached_payment_screen,0
user_B_199884,B,user_started_trial,0
user_B_199884,B,trial_converted_to_annual,1200
user_A_3586326,A,user_started_onboarding,0
user_A_3586326,A,user_reached_payment_screen,0
user_A_3586326,A,user_subscribed_monthly,300
user_B_4012791,B,user_started_onboarding,0
user_B_4012791,B,user_reached_payment_screen,0
user_A_17111831,A,user_started_onboarding,0
user_A_17111831,A,user_reached_payment_screen,0
user_B_89346944,B,user_started_onboarding,0
user_B_89346944,B,user_reached_payment_screen,0
user_A_58530362,A,user_started_onboarding,0
user_B_73301627,B,user_started_onboarding,0
user_B_73301627,B,user_reached_payment_screen,0
user_B_73301627,B,user_subscribed_monthly,300
user_A_62060712,A,user_started_onboarding,0
user_A_62060712,A,user_reached_payment_screen,0
user_A_62060712,A,user_subscribed_quarterly,500
user_B_12857214,B,user_started_onboarding,0
user_B_12857214,B,user_reached_payment_screen,0
user_B_12857214,B,user_subscribed_quarterly,500
user_A_70509348,A,user_started_onboarding,0
user_A_70509348,A,user_reached_payment_screen,0
user_B_99088728,B,user_started_onboarding,0
user_B_99088728,B,user_reached_payment_screen,0
user_A_60525005,A,user_started_onboarding,0
user_A_60525005,A,user_reached_payment_screen,0
user_A_60525005,A,user_subscribed_monthly,300
user_B_4609744,B,user_started_onboarding,0
user_B_4609744,B,user_reached_payment_screen,0
user_A_14752532,A,user_started_onboarding,0
user_A_14752532,A,user_reached_payment_screen,0
user_B_18931939,B,user_started_onboarding,0
user_B_18931939,B,user_reached_payment_screen,0
user_A_1910336,A,user_started_onboarding,0
user_A_1910336,A,user_reached_payment_screen,0
user_A_1910336,A,user_subscribed_monthly,300
user_B_30443359,B,user_started_onboarding,0
user_B_30443359,B,user_reached_payment_screen,0
user_B_30443359,B,user_subscribed_monthly,300
user_A_66453075,A,user_started_onboarding,0
user_A_66453075,A,user_reached_payment_screen,0
user_B_98365967,B,user_started_onboarding,0
user_B_98365967,B,user_reached_payment_screen,0
user_B_98365967,B,user_subscribed_quarterly,500
user_A_80562859,A,user_started_onboarding,0
user_A_80562859,A,user_reached_payment_screen,0
user_B_10501558,B,user_started_onboarding,0
user_B_10501558,B,user_reached_payment_screen,0
user_B_10501558,B,user_started_trial,0
user_B_10501558,B,trial_converted_to_annual,1200
user_A_48910759,A,user_started_onboarding,0
user_A_48910759,A,user_reached_payment_screen,0
user_B_93416336,B,user_started_onboarding,0
user_B_93416336,B,user_reached_payment_screen,0
user_B_93416336,B,user_subscribed_quarterly,500
user_A_72428934,A,user_started_onboarding,0
user_A_72428934,A,user_reached_payment_screen,0
user_B_70468899,B,user_started_onboarding,0
user_B_70468899,B,user_reached_payment_screen,0
user_A_95259987,A,user_started_onboarding,0
user_B_95419176,B,user_started_onboarding,0
user_B_95419176,B,user_reached_payment_screen,0
user_B_95419176,B,user_subscribed_quarterly,500
user_A_59345912,A,user_started_onboarding,0
user_A_59345912,A,user_reached_payment_screen,0
user_B_29738265,B,user_started_onboarding,0
user_B_29738265,B,user_reached_payment_screen,0
user_B_29738265,B,user_subscribed_monthly,300
user_A_61966725,A,user_started_onboarding,0
user_A_61966725,A,user_reached_payment_screen,0
user_A_61966725,A,user_started_trial,0
user_A_61966725,A,trial_converted_to_annual,1200
user_B_64563480,B,user_started_onboarding,0
user_B_64563480,B,user_reached_payment_screen,0
user_B_64563480,B,user_started_trial,0
user_B_64563480,B,trial_converted_to_annual,1200
user_A_54203213,A,user_started_onboarding,0
user_A_54203213,A,user_reached_payment_screen,0
user_B_14417729,B,user_started_onboarding,0
user_B_14417729,B,user_reached_payment_screen,0
user_B_14417729,B,user_started_trial,0
user_B_14417729,B,trial_converted_to_annual,1200
user_A_25210273,A,user_started_onboarding,0
user_A_25210273,A,user_reached_payment_screen,0
user_B_56569456,B,user_started_onboarding,0
user_B_56569456,B,user_reached_payment_screen,0
user_A_59819475,A,user_started_onboarding,0
user_A_59819475,A,user_reached_payment_screen,0
